,playerId,action_season,name,team,action_date
225,8477425,2023,Miles Wood,COL,2023-06-28
226,8482072,2023,Jack Ahcan,COL,2023-06-28
227,8479398,2023,Samuel Girard,COL,2023-06-28
228,8480069,2023,Cale Makar,COL,2023-06-28
229,8484258,2023,Sam Malinski,COL,2023-06-28
230,8476312,2023,Josh Manson,COL,2023-06-28
231,8479387,2023,Keaton Middleton,COL,2023-06-28
232,8478038,2023,Devon Toews,COL,2023-06-28
233,8481020,2023,Justus Annunen,COL,2023-06-28
234,8480382,2023,Alexandar Georgiev,COL,2023-06-28
235,8481529,2023,Trent Miner,COL,2023-06-28
236,8482146,2023,Luke Evangelista,NSH,2023-06-28
237,8476887,2023,Filip Forsberg,NSH,2023-06-28
238,8479996,2023,Cody Glass,NSH,2023-06-28
239,8476873,2023,Mark Jankowski,NSH,2023-06-28
240,8477446,2023,Michael McCarron,NSH,2023-06-28
241,8478438,2023,Tommy Novak,NSH,2023-06-28
242,8474679,2023,Gustav Nyquist,NSH,2023-06-28
243,8475158,2023,Ryan O'Reilly,NSH,2023-06-28
244,8476925,2023,Colton Sissons,NSH,2023-06-28
245,8482062,2023,Cole Smith,NSH,2023-06-28
246,8479371,2023,Dante Fabbro,NSH,2023-06-28
247,8474600,2023,Roman Josi,NSH,2023-06-28
248,8478468,2023,Jeremy Lauzon,NSH,2023-06-28
249,8474568,2023,Luke Schenn,NSH,2023-06-28
250,8477424,2023,Juuse Saros,NSH,2023-06-28
251,8484153,2023,Leo Carlsson,ANA,2023-06-28
252,8482118,2023,Sam Colangelo,ANA,2023-06-28
253,8483445,2023,Cutter Gauthier,ANA,2023-06-28
254,8477527,2023,Ross Johnston,ANA,2023-06-28
255,8473986,2023,Alex Killorn,ANA,2023-06-28
256,8480806,2023,Isac Lundestrom,ANA,2023-06-28
257,8476934,2023,Brock McGinn,ANA,2023-06-28
258,8482745,2023,Mason McTavish,ANA,2023-06-28
259,8476458,2023,Ryan Strome,ANA,2023-06-28
260,8478873,2023,Troy Terry,ANA,2023-06-28
261,8478366,2023,Frank Vatrano,ANA,2023-06-28
262,8481533,2023,Trevor Zegras,ANA,2023-06-28
263,8475764,2023,Cam Fowler,ANA,2023-06-28
264,8475462,2023,Radko Gudas,ANA,2023-06-28
265,8481605,2023,Jackson LaCombe,ANA,2023-06-28
266,8483490,2023,Pavel Mintyukov,ANA,2023-06-28
267,8482803,2023,Olen Zellweger,ANA,2023-06-28
268,8480843,2023,Lukas Dostal,ANA,2023-06-28
269,8476434,2023,John Gibson,ANA,2023-06-28
270,8477964,2023,Ivan Barbashev,VGK,2023-06-28
271,8482153,2023,Brendan Brisson,VGK,2023-06-28
272,8480844,2023,Grigori Denisenko,VGK,2023-06-28
273,8481604,2023,Pavel Dorofeyev,VGK,2023-06-28
274,8478403,2023,Jack Eichel,VGK,2023-06-28
275,8476881,2023,Tomas Hertl,VGK,2023-06-28
