,playerId,name,season_type,situation,action_season,action_date,gamescore_toi
197,8474673,TJ Brodie,playoffs,all,2014,2014-06-13,560.0
198,8474679,Gustav Nyquist,playoffs,all,2014,2014-06-13,588.0
199,8474688,Greg Pateryn,playoffs,all,2014,2014-06-13,662.0
200,8474697,Mark Borowiecki,playoffs,all,2014,2014-06-13,506.0
201,8474709,Matt Martin,playoffs,all,2014,2014-06-13,634.0
202,8474716,Jared Spurgeon,playoffs,all,2014,2014-06-13,566.0
203,8474870,Tyler Johnson,playoffs,all,2014,2014-06-13,666.0
204,8474884,Mike Hoffman,playoffs,all,2014,2014-06-13,644.0
205,8475149,Marcus Johansson,playoffs,all,2014,2014-06-13,544.0
206,8475151,Kyle Palmieri,playoffs,all,2014,2014-06-13,602.0
207,8475155,Simon Despres,playoffs,all,2014,2014-06-13,584.0
208,8475157,Landon Ferraro,playoffs,all,2014,2014-06-13,460.0
209,8475163,Alex Chiasson,playoffs,all,2014,2014-06-13,424.0
210,8475164,Jakob Silfverberg,playoffs,all,2014,2014-06-13,686.0
211,8475166,John Tavares,playoffs,all,2014,2014-06-13,658.0
212,8475167,Victor Hedman,playoffs,all,2014,2014-06-13,622.0
213,8475176,Ryan Ellis,playoffs,all,2014,2014-06-13,584.0
214,8475177,Calvin de Haan,playoffs,all,2014,2014-06-13,484.0
215,8475181,Nick Leddy,playoffs,all,2014,2014-06-13,604.0
216,8475182,David Rundblad,playoffs,all,2014,2014-06-13,576.0
217,8475184,Chris Kreider,playoffs,all,2014,2014-06-13,580.0
218,8475192,Taylor Beck,playoffs,all,2014,2014-06-13,476.0
219,8475193,Tomas Tatar,playoffs,all,2014,2014-06-13,656.0
220,8475208,Brian Dumoulin,playoffs,all,2014,2014-06-13,552.0
221,8475218,Mattias Ekholm,playoffs,all,2014,2014-06-13,520.0
222,8475222,Sami Vatanen,playoffs,all,2014,2014-06-13,602.0
223,8475225,Craig Smith,playoffs,all,2014,2014-06-13,666.0
224,8475231,Casey Cizikas,playoffs,all,2014,2014-06-13,618.0
225,8475247,Michael Latta,playoffs,all,2014,2014-06-13,350.0
226,8475268,Gabriel Bourque,playoffs,all,2014,2014-06-13,428.0
227,8475314,Anders Lee,playoffs,all,2014,2014-06-13,510.0
228,8475323,Marcus Kruger,playoffs,all,2014,2014-06-13,560.0
229,8475650,Brandon Bollig,playoffs,all,2014,2014-06-13,610.0
230,8475690,Christopher Tanev,playoffs,all,2014,2014-06-13,590.0
231,8475692,Mats Zuccarello,playoffs,all,2014,2014-06-13,652.0
232,8475714,Calle Jarnkrok,playoffs,all,2014,2014-06-13,564.0
233,8475722,Jason Zucker,playoffs,all,2014,2014-06-13,560.0
234,8475744,Evgeny Kuznetsov,playoffs,all,2014,2014-06-13,620.0
235,8475745,Charlie Coyle,playoffs,all,2014,2014-06-13,516.0
236,8475754,Brock Nelson,playoffs,all,2014,2014-06-13,564.0
237,8475758,Devante Smith-Pelly,playoffs,all,2014,2014-06-13,574.0
238,8475763,Kevin Hayes,playoffs,all,2014,2014-06-13,594.0
239,8475764,Cam Fowler,playoffs,all,2014,2014-06-13,602.0
240,8475765,Vladimir Tarasenko,playoffs,all,2014,2014-06-13,728.0
241,8475768,Jaden Schwartz,playoffs,all,2014,2014-06-13,652.0
242,8475770,Emerson Etem,playoffs,all,2014,2014-06-13,590.0
243,8475772,Riley Sheahan,playoffs,all,2014,2014-06-13,602.0
244,8475798,Mikael Granlund,playoffs,all,2014,2014-06-13,600.0
245,8475799,Nino Niederreiter,playoffs,all,2014,2014-06-13,566.0
246,8475848,Brendan Gallagher,playoffs,all,2014,2014-06-13,686.0
247,8475855,Jesper Fast,playoffs,all,2014,2014-06-13,554.0
248,8475907,Micheal Ferland,playoffs,all,2014,2014-06-13,602.0
249,8475913,Mark Stone,playoffs,all,2014,2014-06-13,624.0
250,8476235,Justin Fontaine,playoffs,all,2014,2014-06-13,586.0
251,8476292,Ondrej Palat,playoffs,all,2014,2014-06-13,616.0
252,8476300,Nikita Nesterov,playoffs,all,2014,2014-06-13,634.0
253,8476346,Johnny Gaudreau,playoffs,all,2014,2014-06-13,592.0
254,8476381,Andrew Shaw,playoffs,all,2014,2014-06-13,616.0
255,8476392,Adam Lowry,playoffs,all,2014,2014-06-13,630.0
256,8476419,Jean-Gabriel Pageau,playoffs,all,2014,2014-06-13,586.0
257,8476430,Tomas Jurco,playoffs,all,2014,2014-06-13,590.0
258,8476436,Dmitrij Jaskin,playoffs,all,2014,2014-06-13,526.0
259,8476438,Brandon Saad,playoffs,all,2014,2014-06-13,626.0
260,8476452,Tyler Wotherspoon,playoffs,all,2014,2014-06-13,526.0
261,8476453,Nikita Kucherov,playoffs,all,2014,2014-06-13,674.0
262,8476458,Ryan Strome,playoffs,all,2014,2014-06-13,602.0
263,8476459,Mika Zibanejad,playoffs,all,2014,2014-06-13,624.0
